,code_bss,bss_id,date_mesure,niveau_nappe_eau,mode_obtention,nom_producteur
193,10906X0039/C2-1,BSS002MNYD,2000-10-24,103.48,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
194,10906X0039/C2-1,BSS002MNYD,2000-10-25,103.43,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
195,10906X0039/C2-1,BSS002MNYD,2000-10-26,103.39,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
196,10906X0039/C2-1,BSS002MNYD,2000-10-27,103.37,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
197,10906X0039/C2-1,BSS002MNYD,2000-10-28,103.36,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
198,10906X0039/C2-1,BSS002MNYD,2000-10-29,103.35,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
199,10906X0039/C2-1,BSS002MNYD,2000-10-30,103.34,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
200,10906X0039/C2-1,BSS002MNYD,2000-10-31,103.32,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
201,10906X0039/C2-1,BSS002MNYD,2000-11-01,103.29,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
202,10906X0039/C2-1,BSS002MNYD,2000-11-02,103.27,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
203,10906X0039/C2-1,BSS002MNYD,2000-11-03,103.26,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
204,10906X0039/C2-1,BSS002MNYD,2000-11-04,103.23,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
205,10906X0039/C2-1,BSS002MNYD,2000-11-05,103.21,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
206,10906X0039/C2-1,BSS002MNYD,2000-11-06,103.19,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
207,10906X0039/C2-1,BSS002MNYD,2000-11-07,103.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
208,10906X0039/C2-1,BSS002MNYD,2000-11-08,103.14,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
209,10906X0039/C2-1,BSS002MNYD,2000-11-09,103.13,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
210,10906X0039/C2-1,BSS002MNYD,2000-11-10,103.11,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
211,10906X0039/C2-1,BSS002MNYD,2000-11-11,103.07,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
212,10906X0039/C2-1,BSS002MNYD,2000-11-12,103.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
213,10906X0039/C2-1,BSS002MNYD,2000-11-13,103.03,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
